v,w,t
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.3694005
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.4193778
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.4693382
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.5193868
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.5693758
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.619375
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.6693802
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.7193778
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.7693577
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.819424
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.8693783
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.91938
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539746.9693782
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.0193791
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.0694098
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.1193776
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.1693761
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.2194488
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.269473
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.3193924
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.369419
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.419439
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.4693818
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.5194247
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.5693789
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.6194193
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.669503
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.719376
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.769416
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.8194427
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.8693788
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.9194274
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539747.9693823
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.0193782
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.0693884
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.1194263
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.169381
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.2194252
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.269373
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.31947
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.3693786
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.4193983
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.4694235
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.519428
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.569421
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.6194422
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.6693752
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.7193758
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.769439
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.8193758
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.869395
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.9194047
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539748.969422
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.0193772
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.0694473
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.11938
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.1693776
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.2193742
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.2694323
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.3193884
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.3693943
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.4194243
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.469364
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.519419
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.5693793
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.6194217
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.669402
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.7193775
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.769381
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.8193815
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.8693779
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.9193492
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539749.9694397
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.0194645
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.0693758
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.119421
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.1693852
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.2194054
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.269381
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.3193784
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.3694344
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.4193318
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.4693813
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.519401
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.569477
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.6194406
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.669383
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.7194395
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.7694187
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.819438
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.8694243
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.9193807
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539750.9694254
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539751.0193906
-2.9272645505479256e-15,-4.2404502218623685e-16,1579539751.0693758
